sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-cloudfront-log-analysis,,1.5,,6.5,905.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-cloudfront-secure-static-site,50.8,26.181818181818183,,15.636363636363637,2315.818181818182,,9.6,1655.2,5.0,6.0,AWS,54.54545454545454,45.45454545454545
aws-samples/amazon-cloudfront-signed-urls-using-lambda-secretsmanager,21.0,5.0,,9.0,837.0,,0.0,166.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-cloudfront-waf-secretsmanager,22.0,2.5,,0.0,1618.0,,0.0,1625.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-cloudwatch-auto-alarms,7.5,7.875,,1.125,1916.25,,0.5,1993.25,4.0,4.0,AWS,50.0,50.0
aws-samples/amazon-cloudwatch-container-insights,54.06666666666667,36.41379310344828,,29.310344827586206,2259.310344827586,,3.1333333333333333,1822.4666666666667,15.0,14.0,AWS,48.275862068965516,51.724137931034484
aws-samples/amazon-cloudwatch-log-centralizer,57.666666666666664,2.0,,9.333333333333334,2202.6666666666665,,0.0,2476.3333333333335,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-cloudwatch-monitor-for-sap-hana,5.5,1.5,,0.0,151.5,,3.5,1109.5,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-cloudwatch-monitor-for-sap-netweaver,61.0,2.5,,0.0,58.5,,7.0,2115.25,4.0,0.0,AWS,0.0,100.0
aws-samples/amazon-cloudwatch-percentiles-high-volume-data-monitoring,0.0,1.0,,3.0,2751.0,,3.0,2497.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-codeguru-reviewer-sample-app,,46.0,,0.0,1789.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-cognito-developer-authentication-sample,0.0,6.0,,403.27272727272725,848.2727272727273,,1.6666666666666667,371.3333333333333,3.0,8.0,AWS,72.72727272727273,27.27272727272727
aws-samples/amazon-cognito-example-for-external-idp,5.25,27.444444444444443,,6.777777777777778,1176.111111111111,,35.25,2714.25,8.0,1.0,AWS,11.11111111111111,88.88888888888889
aws-samples/amazon-cognito-facial-recognition-auth,23.0,2.0,,1.0,1392.5,,33.0,1583.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-cognito-gamelogin-sample,11.0,1.5,,1.0,325.0,,1.0,1864.5,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-cognito-identity-management-workshop,0.0,12.125,,8.875,3041.875,,2.0,2832.0,1.0,7.0,AWS,87.5,12.5
aws-samples/amazon-cognito-passwordless-email-auth,43.166666666666664,18.76923076923077,,9.384615384615385,1414.6923076923076,,7.0,1929.8333333333333,12.0,1.0,AWS,7.6923076923076925,92.3076923076923
